"mora","atraso","vivienda","edad","dias_lab","exp_sf","nivel_ahorro","ingreso","linea_sf","deuda_sf","score","zona","clasif_sbs","nivel_educ","exp_sf_clean","linea_sf_clean","deuda_sf_clean","nivel_educ_clean","vivienda_clean","zona_clean","exp_sf_outlier","linea_sf_outlier","deuda_sf_outlier"
0,235,"FAMILIAR",30,3748,93,5,3500,NA,0,214,"Lima",4,"UNIVERSITARIA",93,0,0,"Alta","No Propia","Lima",TRUE,FALSE,FALSE
0,18,"FAMILIAR",32,4598,9,12,900,1824.67,1933.75,175,"La Libertad",1,"TECNICA",9,1824.67,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",26,5148,8,2,2400,2797.38,188.29,187,"Lima",0,"UNIVERSITARIA",8,2797.38,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,0,"FAMILIAR",36,5179,20,12,2700,NA,0,187,"Ancash",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",46,3960,NA,1,3100,2000,11010.65,189,"Lima",0,"TECNICA",20,2000,0,"Media o menos","No Propia","Lima",FALSE,FALSE,FALSE
0,22,"FAMILIAR",25,4874,9,12,2200,449.92,496.58,220,"Lima",0,"UNIVERSITARIA",9,449.92,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,9,"FAMILIAR",30,3930,12,8,2100,4827.64,850.21,193,"Lima",0,"UNIVERSITARIA",12,4827.64,0,"Alta","No Propia","Lima",FALSE,FALSE,FALSE
0,8,"PROPIA",55,4995,23,12,5593.21,10467,18620.8,199,"Piura",0,"TECNICA",23,10467,0,"Media o menos","Propia","OTRAS",FALSE,FALSE,FALSE
0,2,"FAMILIAR",30,5026,NA,0,2000,7315.41,0,156,"Piura",0,"UNIVERSITARIA",20,7315.41,0,"Alta","No Propia","OTRAS",FALSE,FALSE,FALSE
0,0,"FAMILIAR",31,4964,NA,4,3800,NA,0,192,"Ica",0,"TECNICA",20,0,0,"Media o menos","No Propia","OTRAS",FALSE,FALSE,FALSE
